,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Quincy Acy,Nov 7 '12 TOR @ DAL,22,1,29,342,42,75,1,2,31,38,30,77,11,13,15,17,53,116,.560,.500,.816,11.8,4.0,2.7,0.4,0.4,0.5,acyqu01
2,Josh Akognon,Apr 10 '13 DAL vs. PHO,26,1,3,9,2,4,1,2,0,0,0,1,1,0,0,0,3,5,.500,.500,,3.0,1.7,0.3,0.3,0.0,0.0,akognjo01
3,Harrison Barnes,Oct 31 '12 GSW @ PHO,20,1,81,2058,276,628,52,145,144,190,53,333,98,52,14,101,140,748,.439,.359,.758,25.4,9.2,4.1,1.2,0.6,0.2,barneha02
4,Will Barton,Nov 2 '12 POR @ OKC,22,1,73,894,118,309,9,65,50,65,36,145,58,34,9,60,56,295,.382,.138,.769,12.2,4.0,2.0,0.8,0.5,0.1,bartowi01
5,Aron Baynes,Jan 25 '13 SAS @ DAL,26,1,16,141,18,36,0,1,7,12,12,32,5,1,6,11,23,43,.500,.000,.583,8.8,2.7,2.0,0.3,0.1,0.4,baynear01
6,Kent Bazemore,Nov 9 '12 GSW @ LAL,23,1,61,267,43,116,10,34,27,44,5,22,22,17,4,18,27,123,.371,.294,.614,4.4,2.0,0.4,0.4,0.3,0.1,bazemke01
7,Bradley Beal,Oct 30 '12 WAS @ CLE,19,1,56,1745,282,687,91,236,125,159,43,211,137,50,29,90,113,780,.410,.386,.786,31.2,13.9,3.8,2.4,0.9,0.5,bealbr01
8,Patrick Beverley,Jan 15 '13 HOU vs. LAC,24,1,41,713,79,189,36,96,34,41,45,109,117,37,21,44,83,228,.418,.375,.829,17.4,5.6,2.7,2.9,0.9,0.5,beverpa01
9,Victor Claver,Nov 3 '12 POR @ HOU,24,1,49,812,74,189,25,87,14,30,31,119,43,26,12,43,75,187,.392,.287,.467,16.6,3.8,2.4,0.9,0.5,0.2,clavevi01
10,Chris Copeland,Nov 2 '12 NYK vs. MIA,28,1,56,862,182,380,59,140,63,83,34,119,27,16,12,50,104,486,.479,.421,.759,15.4,8.7,2.1,0.5,0.3,0.2,copelch01
